date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,0.2,-2.1,2.2,4.6,30,209,25.6,40.8,1005.6,
2019-01-02 00:00:00,-0.4,-2.5,2,6.1,20,280,16.9,40.8,998,
2019-01-03 00:00:00,-4.4,-5.1,-3.9,4.1,71,344,23.7,42.6,1013,
2019-01-04 00:00:00,-5.3,-6,-3.2,2,79,262,15.9,29.6,1017.2,
2019-01-05 00:00:00,-3.7,-6,0,3.3,99,342,19.6,37,1007.3,
2019-01-06 00:00:00,-6.1,-8,-4.7,0,99,18,15.4,33.3,1020.9,
2019-01-07 00:00:00,-7.8,-10.6,-5.7,,99,213,11.6,29.6,1024.6,
2019-01-08 00:00:00,-5.9,-7,-4.6,,99,177,22.7,37,1007.4,
2019-01-09 00:00:00,-9.4,-12,-6,,99,140,16.5,33.3,1007.6,
2019-01-10 00:00:00,-10.1,-12.6,-8,0,99,110,4.3,13,1017.7,
2019-01-11 00:00:00,-11.4,-15,-9.1,1,99,192,16.7,33.3,1012,
2019-01-12 00:00:00,-2.9,-10,-0.3,5.6,160,247,11.4,25.9,999.9,
2019-01-13 00:00:00,-0.6,-2.2,1,2.3,150,200,16.3,33.3,991.7,
2019-01-14 00:00:00,-0.9,-3.4,1,9.9,150,237,20.7,38.9,979,
2019-01-15 00:00:00,-3.4,-5,-1.8,1,160,267,14.5,29.6,990.1,
2019-01-16 00:00:00,-2.9,-6.1,-1.4,,170,250,12.1,29.6,999.3,
2019-01-17 00:00:00,1.2,-2.8,2.1,2.8,160,215,24.3,37,995.4,
2019-01-18 00:00:00,-1.3,-3,1.6,6.1,119,245,16.8,31.5,1001.9,
2019-01-19 00:00:00,-3.2,-5.1,-2.2,0,160,243,15.1,27.8,1014.6,
2019-01-20 00:00:00,-2.9,-4,-1.5,,160,246,19.6,33.3,1013.8,
2019-01-21 00:00:00,-4.7,-7.1,-3.6,,180,257,11.6,22.2,1016.7,
2019-01-22 00:00:00,-4.7,-6,-2.8,,191,161,6.9,14.8,1016.8,
2019-01-23 00:00:00,-6.8,-11,-3.4,,191,132,7.9,18.5,1013.9,
2019-01-24 00:00:00,-10.7,-15.1,-6,,180,32,5,13,1017.7,
2019-01-25 00:00:00,-7.7,-14.1,-5.9,,180,105,10.7,27.8,1017.8,
2019-01-26 00:00:00,-8.2,-11,-7,2,259,200,10.1,24.1,1005.6,
2019-01-27 00:00:00,-7.8,-8.3,-5.5,0.5,269,162,10.8,31.5,1004.2,
2019-01-28 00:00:00,-7.3,-8,-6,2.3,269,144,18.8,35.2,1001.1,
2019-01-29 00:00:00,-3.1,-7.5,0,0,279,167,17.5,27.8,1000.6,
2019-01-30 00:00:00,-0.8,-3,1.9,,269,171,10.5,22.2,1008,
2019-01-31 00:00:00,-1.2,-3.1,0.2,,249,68,10.1,22.2,1008.3,
2019-02-01 00:00:00,0.4,-0.1,1,4.8,239,143,13,24.1,1008.4,
2019-02-02 00:00:00,1.2,-0.1,2.2,2.3,221,139,20.8,35.2,1007.9,
2019-02-03 00:00:00,1.7,1,3.3,0.3,180,162,16.4,33.3,1009.7,
2019-02-04 00:00:00,-0.7,-3,1,5.6,130,268,11.3,35.2,1018.1,
2019-02-05 00:00:00,-2.3,-3,-1.2,,140,205,16.2,31.5,1026.8,
2019-02-06 00:00:00,-0.4,-2,1,0.5,140,250,15.4,27.8,1021.7,
2019-02-07 00:00:00,-0.1,-2,3.2,,140,188,17,29.6,1019.4,
2019-02-08 00:00:00,-0.1,-2,2.9,,140,187,18,29.6,1015.2,
2019-02-09 00:00:00,0.9,-1.1,3.4,,140,176,21.6,37,1012.2,
2019-02-10 00:00:00,1.9,0.3,4.8,0,119,182,20.6,33.3,1006.5,
2019-02-11 00:00:00,1.7,1,3,2,99,176,20.3,35.2,997.4,
2019-02-12 00:00:00,-0.3,-1,0.5,1.5,79,289,21.7,40.8,1007.9,
2019-02-13 00:00:00,-0.6,-2.2,1.7,,89,269,16.8,31.5,1016.3,
2019-02-14 00:00:00,1.3,-0.4,4.7,,130,287,11.7,27.8,1025.4,
2019-02-15 00:00:00,2.1,1,3,,89,264,12.1,25.9,1027,
2019-02-16 00:00:00,2.1,0.9,6.1,,71,235,13.7,29.6,1022.8,
2019-02-17 00:00:00,2.2,-1,5,,30,281,12.1,29.6,1017.7,
2019-02-18 00:00:00,-1.8,-4,2.4,,20,182,7.1,22.2,1023.2,
2019-02-19 00:00:00,2.5,-4,7,,20,194,18.6,33.3,1012.3,
2019-02-20 00:00:00,2.2,-1,4.8,2.3,,268,23.4,48.2,1006.6,
2019-02-21 00:00:00,-3,-4.2,-0.2,,,337,17.9,40.8,1018.1,
2019-02-22 00:00:00,-5.7,-9.1,-2,,,8,21.6,38.9,1033,
2019-02-23 00:00:00,-4.2,-9,-1,,,282,13.6,33.3,1039.9,
2019-02-24 00:00:00,0.3,-2,4.3,,,264,13.9,27.8,1030,
2019-02-25 00:00:00,1.7,-1.2,5.9,,,291,15.5,38.9,1023.5,
2019-02-26 00:00:00,2.1,0.9,4,0,,325,18.2,35.2,1018.3,
2019-02-27 00:00:00,2.2,0,6.5,,,278,13.3,25.9,1017,
2019-02-28 00:00:00,2.7,1,7.5,,,290,18.7,42.6,995.5,
2019-03-01 00:00:00,-2.9,-5,0,0.8,10,335,22.4,44.5,1002.4,
2019-03-02 00:00:00,-4.2,-6,-0.3,,10,292,12.4,24.1,1012,
2019-03-03 00:00:00,-0.1,-5,4.1,,,217,19.8,31.5,1003.7,
2019-03-04 00:00:00,4.7,0.8,7.7,7.9,,212,13.3,29.6,992.6,
2019-03-05 00:00:00,3.8,0,6.6,5.1,,245,25,51.8,988.9,
2019-03-06 00:00:00,-1.7,-4,2.9,,,299,12,29.6,1010.4,
2019-03-07 00:00:00,4.3,-2,8.2,,,172,24.5,40.8,1006.9,
2019-03-08 00:00:00,7.3,3,12.6,1.5,,213,25.8,48.2,1000.5,
2019-03-09 00:00:00,4.3,1,8.3,3,,228,24.9,46.3,1003.4,
2019-03-10 00:00:00,2,0.1,3.5,5.1,,236,17.6,37,994.9,
2019-03-11 00:00:00,-0.8,-2.1,1.6,2,,272,15.1,40.8,999,
2019-03-12 00:00:00,-2.3,-4.4,1.6,0,,272,15.3,40.8,1009.9,
2019-03-13 00:00:00,-0.3,-6,5.9,,,181,17.5,37,1008.4,
2019-03-14 00:00:00,3.6,0.7,8.6,1,,176,20.9,40.8,1002.2,
2019-03-15 00:00:00,3.9,1.8,8.1,2.5,,170,19.6,33.3,997.9,
2019-03-16 00:00:00,2.7,1.3,4.5,11.9,,249,19.1,38.9,991.5,
2019-03-17 00:00:00,4.2,0.7,7.1,0,,188,16.1,33.3,1003.7,
2019-03-18 00:00:00,4.8,3,8.3,,,203,16.5,33.3,1006.6,
2019-03-19 00:00:00,2.7,0,6.7,,,229,18.7,37,1016.8,
2019-03-20 00:00:00,3.6,0,7.6,,,266,14.9,29.6,1026.3,
2019-03-21 00:00:00,5.8,4,8,0.5,,271,16.9,33.3,1024.4,
2019-03-22 00:00:00,5.7,1.8,8.7,,,317,22.7,42.6,1025.6,
2019-03-23 00:00:00,5.7,-4,13.1,,,228,10.8,27.8,1025.4,
2019-03-24 00:00:00,4.7,1.1,8.8,,,287,16.7,35.2,1017.1,
2019-03-25 00:00:00,2.7,-2,7,,,256,10.6,24.1,1009.8,
2019-03-26 00:00:00,0.5,-1.4,4.4,3,,296,15,29.6,1010.1,
2019-03-27 00:00:00,-0.2,-4.1,3.6,0.8,10,302,12.2,27.8,1021.3,
2019-03-28 00:00:00,2.7,0,8.2,,,234,7.3,18.5,1027.3,
2019-03-29 00:00:00,5.8,-2,14.1,,,252,17.6,42.6,1022.9,
2019-03-30 00:00:00,9,5,15.9,,,263,17.1,37,1018.5,
2019-03-31 00:00:00,6.4,3,12.7,,,247,19.2,48.2,1013.3,
2019-04-01 00:00:00,3.2,-1.7,8.8,,,327,14,29.6,1025.6,
2019-04-02 00:00:00,4.4,-5,11.3,,,123,7.5,24.1,1029,
2019-04-03 00:00:00,6.6,0.3,12.7,,,141,17.8,37,1023.5,
2019-04-04 00:00:00,6.9,1,13.5,,,134,16,37,1018.2,
2019-04-05 00:00:00,7.7,2,14,,,125,13.2,31.5,1017.4,
2019-04-06 00:00:00,8.6,2,15.1,,,98,13.6,29.6,1018.6,
2019-04-07 00:00:00,9.5,6,15.5,,,140,16.4,31.5,1012.1,
2019-04-08 00:00:00,8.1,0.6,16.2,,,279,10.1,25.9,1009.2,
2019-04-09 00:00:00,1.6,-1.5,5.4,,,320,11.9,25.9,1012.6,
2019-04-10 00:00:00,2.1,-1.8,4.6,,,313,8.8,20.4,1016.2,
2019-04-11 00:00:00,2.1,-1,5.9,,,351,11.6,24.1,1021,
2019-04-12 00:00:00,0.3,-4.3,5.7,,,26,13.6,29.6,1024.7,
2019-04-13 00:00:00,3,-4.1,9.7,,,40,14.6,29.6,1026.3,
2019-04-14 00:00:00,3.8,-2,9.5,,,33,14.1,31.5,1027.7,
2019-04-15 00:00:00,2.9,-2,8.1,,,28,11,33.3,1028.3,
2019-04-16 00:00:00,9,-0.3,16.4,,,23,13.2,33.3,1026.8,
2019-04-17 00:00:00,11.2,3.9,17.5,,,52,10.4,27.8,1028.6,
2019-04-18 00:00:00,11.4,2,18.7,,,4,10.1,27.8,1031.1,
2019-04-19 00:00:00,12.2,2.4,18.7,,,355,8.7,24.1,1031.4,
2019-04-20 00:00:00,10.9,4.8,17.6,,,337,11.6,25.9,1026.2,
2019-04-21 00:00:00,7,5,11.1,0.5,,11,8.8,24.1,1021.5,
2019-04-22 00:00:00,12.1,3.2,18.1,,,121,10.9,29.6,1026.7,
2019-04-23 00:00:00,13.6,1.9,20.3,,,118,11.8,29.6,1028.6,
2019-04-24 00:00:00,15.4,8.7,21.5,,,136,17.6,42.6,1025.4,
2019-04-25 00:00:00,15.8,9.1,22.4,,,142,17.5,37,1020.6,
2019-04-26 00:00:00,18.1,11.5,24.8,,,145,12.6,31.5,1015.4,
2019-04-27 00:00:00,18.8,10.5,26.8,,,109,8.9,24.1,1008.5,
2019-04-28 00:00:00,17.2,12,23.7,,,55,14.1,29.6,1009.8,
2019-04-29 00:00:00,12.2,7,17.6,,,61,14.3,31.5,1015.7,
2019-04-30 00:00:00,11.6,4.3,18.5,,,72,7.9,22.2,1014.6,
2019-05-01 00:00:00,12.3,4.8,18.6,,,165,8.3,20.4,1006.3,
2019-05-02 00:00:00,7,3,11.1,4.1,,238,18.1,40.8,995.9,
2019-05-03 00:00:00,5.9,4,10.4,4.1,,256,16,33.3,999.4,
2019-05-04 00:00:00,6.2,-3,12.8,,,190,11.6,33.3,1006,
2019-05-05 00:00:00,6.9,2.9,12.3,,,276,14,29.6,1009.2,
2019-05-06 00:00:00,6.9,0.7,11.6,,,12,14.5,24.1,1011.8,
2019-05-07 00:00:00,8.1,5,13.1,,,329,16.6,31.5,1011.2,
2019-05-08 00:00:00,7.2,-2.1,14.4,,,342,6.1,20.4,1016.3,
2019-05-09 00:00:00,10.4,2.9,16.7,,,118,10.9,25.9,1012.1,
2019-05-10 00:00:00,11.8,4.4,18.5,,,138,8.6,22.2,1007.9,
2019-05-11 00:00:00,11.9,7.8,15.9,,,220,7.5,20.4,1010.2,
2019-05-12 00:00:00,11.6,5,19.4,,,308,6.8,18.5,1020.8,
2019-05-13 00:00:00,12.2,7.5,19.3,,,331,11.6,29.6,1024.6,
2019-05-14 00:00:00,8.8,6,11,,,351,15.1,22.2,1025.3,
2019-05-15 00:00:00,13.6,7,19.7,,,36,16.1,29.6,1022,
2019-05-16 00:00:00,13.1,10,15.5,,,71,14.6,27.8,1021.1,
2019-05-17 00:00:00,15.4,13,20.7,2,,88,14.3,27.8,1017.9,
2019-05-18 00:00:00,19.1,13.9,25.9,,,107,12.9,29.6,1015.8,
2019-05-19 00:00:00,20.1,13,26,,,125,14,35.2,1014,
2019-05-20 00:00:00,20.3,17,26.8,2,,121,14.5,35.2,1012.8,
2019-05-21 00:00:00,21,16,27.2,,,124,16.9,40.8,1009.9,
2019-05-22 00:00:00,18.2,13,24.6,,,132,8.3,22.2,1008.2,
2019-05-23 00:00:00,18.4,9,26.7,,,283,8.5,20.4,1008.8,
2019-05-24 00:00:00,16.4,13,22.1,,,312,11.3,22.2,1010.5,
2019-05-25 00:00:00,15.6,10,22.3,,,287,12.2,33.3,1008.7,
2019-05-26 00:00:00,12.8,10,16,,,258,14.7,31.5,1009.4,
2019-05-27 00:00:00,18,12,24.9,,,225,18.6,37,1007.6,
2019-05-28 00:00:00,17.2,10.4,23.2,5.1,,150,12.3,33.3,1007.6,
2019-05-29 00:00:00,14.1,13,16.1,10.2,,269,12.8,24.1,1010.5,
2019-05-30 00:00:00,13.1,5.9,18.9,,,344,11.4,22.2,1022.1,
2019-05-31 00:00:00,15.7,5,22,,,,8.9,27.8,1020.7,
2019-06-01 00:00:00,16.7,14,22,,,281,9.6,22.2,1019.6,
2019-06-02 00:00:00,17.6,11,23,,,253,15.3,35.2,1017.4,
2019-06-03 00:00:00,17.7,8.5,25.2,,,76,6.4,14.8,1020.2,
2019-06-04 00:00:00,20.8,12.4,27.3,,,136,10.5,24.1,1018.9,
2019-06-05 00:00:00,22.9,13.4,30.2,,,128,9.3,25.9,1017.5,
2019-06-06 00:00:00,22.4,17,28.7,,,123,13.1,29.6,1018.1,
2019-06-07 00:00:00,22.1,17,29.9,,,123,11.6,27.8,1017.7,
2019-06-08 00:00:00,22,16,28.5,,,160,13.2,31.5,1018.9,
2019-06-09 00:00:00,19.5,16,24.8,,,322,13.5,27.8,1023.6,
2019-06-10 00:00:00,20.2,10,26.7,,,83,8.5,20.4,1023.5,
2019-06-11 00:00:00,25.3,17,32.7,,,143,11.2,29.6,1018.3,
2019-06-12 00:00:00,26.7,19,34.1,,,163,10.6,22.2,1016,
2019-06-13 00:00:00,25.9,20,34.2,,,143,14.1,33.3,1016.1,
2019-06-14 00:00:00,23,18,29.4,,,320,10.3,29.6,1018.3,
2019-06-15 00:00:00,21.3,15,27.2,,,21,9.8,22.2,1018.7,
2019-06-16 00:00:00,17.6,15,22.1,17,,114,9.8,20.4,1015.4,
2019-06-17 00:00:00,17.6,16.6,21.2,0.3,,274,11.8,27.8,1016.8,
2019-06-18 00:00:00,19.3,13,25.7,,,335,7.9,22.2,1020.1,
2019-06-19 00:00:00,21.9,12.2,28.9,,,,7.7,22.2,1017.4,
2019-06-20 00:00:00,21.9,18,29.3,,,148,13.4,27.8,1012.8,
