date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-04-23 00:00:00,13.4,5.6,20,0,,167,11.2,31.5,1013.5,
2023-04-24 00:00:00,14.9,8.1,21.6,0,,153,15.2,38.9,1008.9,
2023-04-25 00:00:00,13.5,8.4,19.7,0,,142,11.7,35.2,1004.7,
2023-04-26 00:00:00,6.1,4,10,5.2,,300,11,27.8,1006.8,
2023-04-27 00:00:00,6.1,2.1,11,0,,276,12.8,31.5,1014.3,
2023-04-28 00:00:00,5.4,-1,11,0,,242,9,29.6,1019.5,
2023-04-29 00:00:00,7.7,-1.6,15.1,0,,160,9.3,25.9,1018,
2023-04-30 00:00:00,8.4,5.5,13.2,3.7,,228,11.9,29.6,1015.6,
2023-05-01 00:00:00,7.5,0.1,13.2,0,,272,8.9,24.1,1020.4,
2023-05-02 00:00:00,10.3,4.5,19.2,0.6,,190,13.9,38.9,1017.1,
2023-05-03 00:00:00,7.9,1.2,12.6,0,,324,6.8,22.2,1024,
2023-05-04 00:00:00,7.6,-0.4,14,0,,305,7.8,24.1,1025.8,
2023-05-05 00:00:00,6.5,1.7,10.2,0,,0,8.1,25.9,1026.4,
2023-05-06 00:00:00,6.2,-0.9,12.5,0,,57,7.3,20.4,1028.3,
2023-05-07 00:00:00,7.2,0.2,12.5,0,,66,8.4,24.1,1029.5,
2023-05-08 00:00:00,8.8,-0.2,15.6,0,,49,5,18.5,1032.1,
2023-05-09 00:00:00,10.3,0.5,17.5,0,,140,5.3,18.5,1029.6,
2023-05-10 00:00:00,11.3,2.5,18,0,,138,6.6,20.4,1025.2,
2023-05-11 00:00:00,12.1,3.7,18.6,0,,135,7.4,24.1,1025.8,
2023-05-12 00:00:00,14.1,3.2,21.5,0,,11,4.5,18.5,1027,
2023-05-13 00:00:00,17.6,12.1,23.2,0,,26,7,24.1,1025.9,
2023-05-14 00:00:00,18.1,10.2,25.1,0,,56,6.3,20.4,1023.4,
2023-05-15 00:00:00,19,11,24.2,0,,112,10.2,37,1015.7,
2023-05-16 00:00:00,14,11.9,16.7,4.1,,182,13.3,35.2,1011,
2023-05-17 00:00:00,11.2,9,13.1,9.1,,352,6.6,22.2,1016.9,
2023-05-18 00:00:00,9.7,5.7,14,3.9,,344,8.6,22.2,1025.1,
2023-05-19 00:00:00,13.4,10.1,18,0,,4,7.1,20.4,1028.9,
2023-05-20 00:00:00,15.8,9.6,21.2,0,,57,7.2,24.1,1029.6,
2023-05-21 00:00:00,15.1,6.6,21,0,,25,5.9,20.4,1025.9,
2023-05-22 00:00:00,15.5,7.2,21.1,0,,26,4.6,16.7,1020.9,
2023-05-23 00:00:00,17.3,10.7,22.1,0,,122,5.1,18.5,1016.4,
2023-05-24 00:00:00,18.7,11.5,25.2,0,,19,4.7,16.7,1016.8,
2023-05-25 00:00:00,18.8,10.2,25.2,0,,304,6.1,22.2,1018.2,
2023-05-26 00:00:00,15.2,10.9,20,0,,292,10.7,27.8,1019.4,
2023-05-27 00:00:00,11.5,6.8,15.2,0,,340,11.5,31.5,1024.8,
2023-05-28 00:00:00,12.5,3.2,19.7,0,,323,4.1,14.8,1023.2,
2023-05-29 00:00:00,14.9,5.5,21.6,0,,216,6.6,22.2,1018.8,
2023-05-30 00:00:00,15.7,9,20.5,0,,322,8,29.6,1018.9,
2023-05-31 00:00:00,14.1,6.6,20.5,0,,293,10.2,31.5,1020.1,
2023-06-01 00:00:00,15.3,7.2,21.2,0,,287,5.2,18.5,1012.8,
2023-06-02 00:00:00,10.1,7.2,14,0.1,,353,11.1,29.6,1014,
2023-06-03 00:00:00,9,3.2,14.2,0,,302,9.8,31.5,1022.1,
2023-06-04 00:00:00,12.1,2.2,18.2,0,,237,7.5,25.9,1023,
