latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.4836,-121.2403,300.3,1.1,1.0,2025-01-04,520,Terra,MODIS,24,61.03,275.7,9.7,N,0
39.6925,-121.8244,301.2,1.0,1.0,2025-01-06,2203,Aqua,MODIS,45,61.03,288.5,4.7,D,0
39.6992,-121.8185,303.2,1.1,1.1,2025-01-08,1819,Terra,MODIS,55,61.03,282.8,8.7,D,0
39.69,-121.8211,302.0,1.1,1.1,2025-01-08,1819,Terra,MODIS,50,61.03,282.1,7.8,D,0
39.6955,-121.8236,300.3,1.6,1.2,2025-01-08,2143,Aqua,MODIS,34,61.03,288.9,7.2,D,0
38.7424,-119.8218,300.1,1.3,1.1,2025-01-08,2143,Aqua,MODIS,23,61.03,275.3,10.8,D,0
38.7521,-119.8246,305.5,1.3,1.1,2025-01-08,2143,Aqua,MODIS,61,61.03,275.1,15.0,D,0
38.4979,-121.9422,301.8,1.2,1.1,2025-01-09,2222,Aqua,MODIS,49,61.03,291.3,5.0,D,0
38.4995,-121.9284,305.5,1.2,1.1,2025-01-09,2222,Aqua,MODIS,61,61.03,291.7,7.9,D,0
40.2034,-121.2361,301.5,1.4,1.2,2025-01-09,2223,Aqua,MODIS,47,61.03,278.3,13.2,D,0
40.0601,-120.8497,303.9,1.0,1.0,2025-01-10,1800,Terra,MODIS,57,61.03,273.2,10.6,D,0
39.5603,-121.3271,307.4,1.0,1.0,2025-01-10,1800,Terra,MODIS,65,61.03,284.1,10.2,D,0
40.3574,-121.0769,304.0,1.0,1.0,2025-01-11,504,Terra,MODIS,58,61.03,269.3,12.6,N,0
39.6938,-121.8138,312.7,1.2,1.1,2025-01-13,1821,Terra,MODIS,73,61.03,274.2,19.5,D,0
39.6962,-121.8274,306.6,1.2,1.1,2025-01-13,1821,Terra,MODIS,64,61.03,277.1,13.5,D,2
39.5499,-121.3551,301.0,2.6,1.5,2025-01-16,1842,Terra,MODIS,33,61.03,283.1,27.6,D,0
39.6948,-121.8227,301.9,2.4,1.5,2025-01-16,1842,Terra,MODIS,50,61.03,283.5,23.2,D,0
38.8999,-120.6696,306.6,1.0,1.0,2025-01-16,2204,Aqua,MODIS,64,61.03,283.3,10.1,D,0
38.8978,-120.6737,302.7,1.4,1.2,2025-01-18,2145,Aqua,MODIS,53,61.03,283.5,11.8,D,0
38.2782,-121.1814,300.5,3.2,1.7,2025-01-21,1844,Terra,MODIS,38,61.03,286.0,28.4,D,0
39.1537,-121.6687,305.5,1.0,1.0,2025-01-21,2205,Aqua,MODIS,61,61.03,288.0,6.3,D,2
39.0439,-121.6576,307.0,1.0,1.0,2025-01-21,2205,Aqua,MODIS,64,61.03,289.4,7.7,D,0
38.9093,-121.9932,310.1,1.0,1.0,2025-01-21,2205,Aqua,MODIS,70,61.03,288.6,10.5,D,0
38.4948,-121.7274,315.7,1.0,1.0,2025-01-21,2205,Aqua,MODIS,76,61.03,291.2,13.6,D,0
